,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.41,0.575,9,-9.839,0,0.0294,0.323,0.84,0.111,0.265,77.469,audio_features,3pvmkjuacq6719H5su9ixl,spotify:track:3pvmkjuacq6719H5su9ixl,https://api.spotify.com/v1/tracks/3pvmkjuacq6719H5su9ixl,https://api.spotify.com/v1/audio-analysis/3pvmkjuacq6719H5su9ixl,251160,4
1,0.768,0.826,5,-4.904,1,0.0335,0.00199,0.000374,0.031,0.926,114.997,audio_features,2RJfK2pOvGpnxC255YOy5k,spotify:track:2RJfK2pOvGpnxC255YOy5k,https://api.spotify.com/v1/tracks/2RJfK2pOvGpnxC255YOy5k,https://api.spotify.com/v1/audio-analysis/2RJfK2pOvGpnxC255YOy5k,212853,4
2,0.522,0.964,11,-2.645,0,0.095,0.00109,0.000389,0.0387,0.51,170.944,audio_features,47No93LxERvV6MtOAmQzHS,spotify:track:47No93LxERvV6MtOAmQzHS,https://api.spotify.com/v1/tracks/47No93LxERvV6MtOAmQzHS,https://api.spotify.com/v1/audio-analysis/47No93LxERvV6MtOAmQzHS,218627,4
3,0.494,0.723,6,-4.559,0,0.0441,0.0192,0.0322,0.134,0.152,144.036,audio_features,1Bv3h7Vc4AaYA2BcSM3rVd,spotify:track:1Bv3h7Vc4AaYA2BcSM3rVd,https://api.spotify.com/v1/tracks/1Bv3h7Vc4AaYA2BcSM3rVd,https://api.spotify.com/v1/audio-analysis/1Bv3h7Vc4AaYA2BcSM3rVd,225787,4
4,0.452,0.563,4,-6.607,1,0.0272,0.144,0.0,0.143,0.209,137.715,audio_features,7JIuqL4ZqkpfGKQhYlrirs,spotify:track:7JIuqL4ZqkpfGKQhYlrirs,https://api.spotify.com/v1/tracks/7JIuqL4ZqkpfGKQhYlrirs,https://api.spotify.com/v1/audio-analysis/7JIuqL4ZqkpfGKQhYlrirs,267653,3
5,0.441,0.433,2,-20.343,0,0.0348,0.911,0.962,0.118,0.26,179.94,audio_features,3R5ITCdoejoRBBaoKJyGP2,spotify:track:3R5ITCdoejoRBBaoKJyGP2,https://api.spotify.com/v1/tracks/3R5ITCdoejoRBBaoKJyGP2,https://api.spotify.com/v1/audio-analysis/3R5ITCdoejoRBBaoKJyGP2,98053,4
6,0.38,0.76,9,-10.961,1,0.0378,0.00298,0.0294,0.104,0.491,99.437,audio_features,24NwBd5vZ2CK8VOQVnqdxr,spotify:track:24NwBd5vZ2CK8VOQVnqdxr,https://api.spotify.com/v1/tracks/24NwBd5vZ2CK8VOQVnqdxr,https://api.spotify.com/v1/audio-analysis/24NwBd5vZ2CK8VOQVnqdxr,274133,4
7,0.603,0.563,6,-8.313,1,0.027,0.147,0.0,0.109,0.234,100.06,audio_features,6C6fHTuFUxVtJpBOOaMvJr,spotify:track:6C6fHTuFUxVtJpBOOaMvJr,https://api.spotify.com/v1/tracks/6C6fHTuFUxVtJpBOOaMvJr,https://api.spotify.com/v1/audio-analysis/6C6fHTuFUxVtJpBOOaMvJr,253507,4
8,0.599,0.787,2,-4.708,1,0.0338,2.07e-05,5.27e-05,0.064,0.822,114.065,audio_features,6ZtrGCcn38kGImt2GPFbJB,spotify:track:6ZtrGCcn38kGImt2GPFbJB,https://api.spotify.com/v1/tracks/6ZtrGCcn38kGImt2GPFbJB,https://api.spotify.com/v1/audio-analysis/6ZtrGCcn38kGImt2GPFbJB,185133,4
9,0.434,0.984,10,-6.201,1,0.123,0.000178,0.000226,0.08,0.158,160.011,audio_features,6haHIyPMUnVCZn6pHpyzM8,spotify:track:6haHIyPMUnVCZn6pHpyzM8,https://api.spotify.com/v1/tracks/6haHIyPMUnVCZn6pHpyzM8,https://api.spotify.com/v1/audio-analysis/6haHIyPMUnVCZn6pHpyzM8,425264,4
10,0.389,0.494,9,-8.568,1,0.0297,0.29,0.777,0.088,0.221,132.668,audio_features,2p6XlybsJTLIj6GiYSMDVQ,spotify:track:2p6XlybsJTLIj6GiYSMDVQ,https://api.spotify.com/v1/tracks/2p6XlybsJTLIj6GiYSMDVQ,https://api.spotify.com/v1/audio-analysis/2p6XlybsJTLIj6GiYSMDVQ,249253,4
11,0.431,0.733,0,-6.427,0,0.0257,0.26,0.866,0.184,0.22,105.921,audio_features,3AJsTNjbYSH4odSmP1I6ox,spotify:track:3AJsTNjbYSH4odSmP1I6ox,https://api.spotify.com/v1/tracks/3AJsTNjbYSH4odSmP1I6ox,https://api.spotify.com/v1/audio-analysis/3AJsTNjbYSH4odSmP1I6ox,239307,4
12,0.343,0.464,1,-5.976,1,0.0282,0.705,0.000317,0.107,0.306,83.034,audio_features,6csDlzCjNZXrGpuIExoDOg,spotify:track:6csDlzCjNZXrGpuIExoDOg,https://api.spotify.com/v1/tracks/6csDlzCjNZXrGpuIExoDOg,https://api.spotify.com/v1/audio-analysis/6csDlzCjNZXrGpuIExoDOg,112000,4
13,0.331,0.398,1,-9.996,1,0.0325,0.768,0.000476,0.0931,0.227,79.924,audio_features,3CEtybG3xh8q0WMwtn2c0h,spotify:track:3CEtybG3xh8q0WMwtn2c0h,https://api.spotify.com/v1/tracks/3CEtybG3xh8q0WMwtn2c0h,https://api.spotify.com/v1/audio-analysis/3CEtybG3xh8q0WMwtn2c0h,112107,4
14,0.429,0.763,1,-5.91,1,0.107,0.524,0.000199,0.127,0.668,100.835,audio_features,0eGtFJBfYUKF2CvNZJEu3M,spotify:track:0eGtFJBfYUKF2CvNZJEu3M,https://api.spotify.com/v1/tracks/0eGtFJBfYUKF2CvNZJEu3M,https://api.spotify.com/v1/audio-analysis/0eGtFJBfYUKF2CvNZJEu3M,471947,4
15,0.11,0.591,10,-8.84,1,0.0318,0.884,0.777,0.114,0.107,80.595,audio_features,2lfTg7dtS3C1fQl9i4ZBJw,spotify:track:2lfTg7dtS3C1fQl9i4ZBJw,https://api.spotify.com/v1/tracks/2lfTg7dtS3C1fQl9i4ZBJw,https://api.spotify.com/v1/audio-analysis/2lfTg7dtS3C1fQl9i4ZBJw,264747,4
16,0.593,0.41,3,-9.722,1,0.0239,0.238,0.587,0.117,0.27,99.721,audio_features,0qmpEzs4SWVw6zqhMyrOvc,spotify:track:0qmpEzs4SWVw6zqhMyrOvc,https://api.spotify.com/v1/tracks/0qmpEzs4SWVw6zqhMyrOvc,https://api.spotify.com/v1/audio-analysis/0qmpEzs4SWVw6zqhMyrOvc,204467,4
17,0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,audio_features,6EDO9iiTtwNv6waLwa1UUq,spotify:track:6EDO9iiTtwNv6waLwa1UUq,https://api.spotify.com/v1/tracks/6EDO9iiTtwNv6waLwa1UUq,https://api.spotify.com/v1/audio-analysis/6EDO9iiTtwNv6waLwa1UUq,200221,4
18,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,audio_features,2SAqBLGA283SUiwJ3xOUVI,spotify:track:2SAqBLGA283SUiwJ3xOUVI,https://api.spotify.com/v1/tracks/2SAqBLGA283SUiwJ3xOUVI,https://api.spotify.com/v1/audio-analysis/2SAqBLGA283SUiwJ3xOUVI,261493,4
19,0.638,0.832,8,-5.039,1,0.049,0.141,0.0,0.113,0.648,124.071,audio_features,4r6eNCsrZnQWJzzvFh4nlg,spotify:track:4r6eNCsrZnQWJzzvFh4nlg,https://api.spotify.com/v1/tracks/4r6eNCsrZnQWJzzvFh4nlg,https://api.spotify.com/v1/audio-analysis/4r6eNCsrZnQWJzzvFh4nlg,227893,4
20,0.463,0.271,4,-10.621,1,0.0387,0.812,0.0,0.215,0.159,130.372,audio_features,4kM5lBwpG1DEH9FNTsOyGP,spotify:track:4kM5lBwpG1DEH9FNTsOyGP,https://api.spotify.com/v1/tracks/4kM5lBwpG1DEH9FNTsOyGP,https://api.spotify.com/v1/audio-analysis/4kM5lBwpG1DEH9FNTsOyGP,383800,4
21,0.74,0.492,1,-10.237,1,0.0597,0.142,0.0,0.115,0.546,82.033,audio_features,1Yd0HypJ0bzilJS9MBztZZ,spotify:track:1Yd0HypJ0bzilJS9MBztZZ,https://api.spotify.com/v1/tracks/1Yd0HypJ0bzilJS9MBztZZ,https://api.spotify.com/v1/audio-analysis/1Yd0HypJ0bzilJS9MBztZZ,219960,4
22,0.74,0.618,1,-8.337,1,0.0327,0.0439,0.0,0.106,0.668,134.948,audio_features,2Y9YdGPN7AtVfpTvXfRbc6,spotify:track:2Y9YdGPN7AtVfpTvXfRbc6,https://api.spotify.com/v1/tracks/2Y9YdGPN7AtVfpTvXfRbc6,https://api.spotify.com/v1/audio-analysis/2Y9YdGPN7AtVfpTvXfRbc6,219720,4
23,0.759,0.552,6,-9.536,0,0.0322,0.505,0.0,0.165,0.436,101.321,audio_features,4vHb50VkxDzHYwLiHfWczK,spotify:track:4vHb50VkxDzHYwLiHfWczK,https://api.spotify.com/v1/tracks/4vHb50VkxDzHYwLiHfWczK,https://api.spotify.com/v1/audio-analysis/4vHb50VkxDzHYwLiHfWczK,216787,4
24,0.596,0.76,6,-8.217,1,0.0715,0.143,0.00179,0.263,0.731,120.701,audio_features,3rREGSHjY1RmsTj81wL5X4,spotify:track:3rREGSHjY1RmsTj81wL5X4,https://api.spotify.com/v1/tracks/3rREGSHjY1RmsTj81wL5X4,https://api.spotify.com/v1/audio-analysis/3rREGSHjY1RmsTj81wL5X4,225133,4
25,0.468,0.996,11,-3.027,0,0.179,1.41e-05,0.0,0.26,0.094,75.978,audio_features,3CBoWhq9cd7WGQZ9EDQVnn,spotify:track:3CBoWhq9cd7WGQZ9EDQVnn,https://api.spotify.com/v1/tracks/3CBoWhq9cd7WGQZ9EDQVnn,https://api.spotify.com/v1/audio-analysis/3CBoWhq9cd7WGQZ9EDQVnn,218133,4
26,0.664,0.828,0,-6.053,1,0.0404,0.00839,0.0,0.294,0.82,103.985,audio_features,6GqqGv8frU7kqzXkm2rewI,spotify:track:6GqqGv8frU7kqzXkm2rewI,https://api.spotify.com/v1/tracks/6GqqGv8frU7kqzXkm2rewI,https://api.spotify.com/v1/audio-analysis/6GqqGv8frU7kqzXkm2rewI,190718,4
27,0.558,0.886,11,-4.196,0,0.0482,0.000595,9.91e-05,0.0904,0.171,114.041,audio_features,7uIF6RDrW2PwvvYEMkanr8,spotify:track:7uIF6RDrW2PwvvYEMkanr8,https://api.spotify.com/v1/tracks/7uIF6RDrW2PwvvYEMkanr8,https://api.spotify.com/v1/audio-analysis/7uIF6RDrW2PwvvYEMkanr8,262440,4
28,0.476,0.991,4,-2.855,0,0.15,0.00191,0.0,0.121,0.202,82.997,audio_features,163Kb2pSLLduhfbO6Zn0sL,spotify:track:163Kb2pSLLduhfbO6Zn0sL,https://api.spotify.com/v1/tracks/163Kb2pSLLduhfbO6Zn0sL,https://api.spotify.com/v1/audio-analysis/163Kb2pSLLduhfbO6Zn0sL,226349,4
29,0.482,0.926,4,-5.123,0,0.0666,0.00685,0.0,0.288,0.529,150.014,audio_features,0gMTjqQCHmQpCqmmeCy2wP,spotify:track:0gMTjqQCHmQpCqmmeCy2wP,https://api.spotify.com/v1/tracks/0gMTjqQCHmQpCqmmeCy2wP,https://api.spotify.com/v1/audio-analysis/0gMTjqQCHmQpCqmmeCy2wP,271000,4
30,0.619,0.521,3,-8.092,0,0.0744,0.26,0.000542,0.101,0.254,139.886,audio_features,46X8c9qJzpBLYcos3OX0CE,spotify:track:46X8c9qJzpBLYcos3OX0CE,https://api.spotify.com/v1/tracks/46X8c9qJzpBLYcos3OX0CE,https://api.spotify.com/v1/audio-analysis/46X8c9qJzpBLYcos3OX0CE,418507,4
